"key","en","vi","sc"
"game_title","Game Title","Tiêu đề trò chơi","游戏名称"
"play","Play","Chơi","玩"
"settings","Settings","Cài đặt","设定值"
"credits","Credits","Giới thiệu","学分"
"fullscreen","Fullscreen","Toàn màn hình","全屏"
"music_volume","Music Volume","Âm nhạc","音乐音量"
"effects_volume","Effects Volume","Hiệu ứng","效果量"
"keyboard_controls","Keyboard Controls","Bàn phím","键盘控制"
"gamepad_controls","Gamepad Controls","Tay cầm","游戏手柄控件"
"language","Language","Ngôn ngữ","语言"
"exit","Exit","Thoát","出口"
"select","Select","Chọn","选择"
"back","Back","Quay lại","背部"
"up","Up","Lên","向上"
"down","Down","Xuống","下"
"left","Left","Trái","剩下"
"right","Right","Phải","对"
"restore_defaults","Restore Defaults","Khôi phục mặc định","恢复默认值"
"see_remap","See/Remap","Xem / Gán lại","查看/重新映射"
"yes","Yes","Có","是"
"no","No","Không","否"
"control_help","Select control to remap","Chọn điều khiển để gán lại","选择要重映射的控件"
"music","Music","Âm nhạc","音乐"
"sound","Sound","Âm thanh","声音"
"design_and_programming","Design and Programming","Thiết kế và Lập trình","设计与编程"
s
